id1;id2;time;connexion
0;159;46;Route
0;238;41;Route
1;12;36;Route
1;235;44;Route
2;110;69;Route
2;139;50;Route
3;210;41;Route
3;262;33;Route
4;171;43;Route
4;251;35;Route
5;13;67;Route
5;239;54;Route
6;55;56;Route
6;258;46;Route
7;290;39;Route
7;311;79;Route
7;8;180;Transfer
8;309;58;Route
8;350;38;Route
9;78;62;Route
9;338;28;Route
10;108;36;Route
10;277;42;Route
11;54;41;Route
11;154;32;Route
12;1;52;Route
12;213;42;Route
13;5;38;Route
13;151;57;Route
13;14;180;Transfer
14;64;28;Route
14;124;46;Route
15;318;37;Route
15;319;73;Route
16;119;98;Route
16;331;62;Route
16;17;240;Transfer
16;18;240;Transfer
17;40;41;Route
17;288;89;Route
17;18;240;Transfer
18;61;56;Route
18;163;32;Route
19;93;33;Route
19;236;31;Route
20;129;48;Route
20;283;38;Route
20;21;180;Transfer
21;75;51;Route
21;86;46;Route
22;84;39;Route
22;120;81;Route
22;23;180;Transfer
23;97;35;Route
23;287;57;Route
24;84;51;Route
24;376;43;Route
25;193;42;Route
25;253;35;Route
26;98;31;Route
26;230;64;Route
27;239;64;Route
27;246;59;Route
28;29;79;Route
29;28;52;Route
29;374;46;Route
30;150;44;Route
30;354;24;Route
31;41;28;Route
31;144;36;Route
32;303;41;Route
32;343;54;Route
32;33;180;Transfer
33;304;41;Route
33;344;52;Route
34;41;57;Route
34;248;36;Route
35;111;34;Route
35;172;40;Route
36;37;39;Route
36;198;105;Route
37;36;92;Route
38;289;38;Route
38;336;35;Route
39;153;38;Route
39;267;46;Route
40;17;45;Route
40;297;37;Route
41;31;62;Route
42;190;42;Route
42;215;35;Route
43;66;41;Route
43;328;57;Route
44;162;54;Route
44;250;64;Route
45;155;35;Route
45;348;43;Route
46;242;63;Route
46;329;46;Route
47;148;46;Route
47;195;41;Route
48;182;66;Route
48;318;60;Route
49;164;42;Route
49;241;40;Route
50;77;54;Route
50;109;62;Route
50;51;180;Transfer
51;137;62;Route
51;202;69;Route
52;201;20;Route
