id;name;line;lat;long
0;Abbesses;12;48.8843997149084;2.33839938417104
1;Alexandre Dumas;2;48.8564263483252;2.39455425765499
2;Alma Marceau;9;48.8642986710467;2.30125141044993
3;Alésia;4;48.8280660196865;2.32682742005084
4;Anatole France;3;48.8920186263289;2.28551744479448
5;Anvers;2;48.8828716901806;2.34416357280039
6;Argentine;1;48.8756724859879;2.28944416448145
7;Arts et Métiers;11;48.8653811760469;2.35564493120688
8;Arts et Métiers;3;48.8653811760469;2.35564493120688
9;Assemblée Nationale;12;48.8614539042949;2.32030969050736
10;Aubervilliers-Pantin,Quatre Chemins;7;48.9038980475295;2.39248007867247
11;Avenue Émile Zola;10;48.8468521519498;2.29544882793447
12;Avron;2;48.8511938192133;2.39823914082312
13;Barbès Rochechouart;2;48.8836801092791;2.34953280365193
14;Barbès Rochechouart;4;48.8836801092791;2.34953280365193
15;Basilique de Saint-Denis;13;48.9364774926505;2.35963974530458
16;Bastille;1;48.853739623013;2.36916481786183
17;Bastille;5;48.853739623013;2.36916481786183
18;Bastille;8;48.853739623013;2.36916481786183
19;Bel-Air;6;48.8414320066483;2.40086919338009
20;Belleville;11;48.8722873205872;2.37673767732247
21;Belleville;2;48.8722873205872;2.37673767732247
22;Bercy;14;48.8401922444035;2.37947725726606
23;Bercy;6;48.8401922444035;2.37947725726606
24;Bibliothèque François Mitterand;14;48.8298306952711;2.37612000934484
25;Billancourt;9;48.8320876442825;2.23816077687551
26;Bir-Hakeim;6;48.8543272185524;2.28881010373612
27;Blanche;2;48.8837705188318;2.33248514827409
28;Bobigny,Pablo Picasso;5;48.9071473125516;2.44945750453114
29;Bobigny-Pantin,Raymond Queneau;5;48.895799232549;2.42485729839759
30;Boissière;6;48.8668561547603;2.29003807344501
31;Bolivar;71;48.8807901228285;2.37415512666265
32;Bonne Nouvelle;8;48.870576753582;2.34849429371093
33;Bonne Nouvelle;9;48.870576753582;2.34849429371093
34;Botzaris;71;48.8796070889331;2.38941556965321
35;Boucicaut;8;48.8410253553217;2.28792386733087
36;Boulogne,Jean Jaurès;10;48.8422801435297;2.23886297536727
37;Boulogne, Pont de Saint-Cloud,Rond-Point Rhin et Danube;10;48.840680163122;2.22831366172434
38;Bourse;3;48.8687617925964;2.3406741288121
39;Brochant;13;48.8906266330241;2.32019112127533
40;Bréguet-Sabin;5;48.8567679495405;2.37077385838438
41;Buttes-Chaumont;71;48.8778039560078;2.38121109973599
42;Buzenval;9;48.8517674745052;2.40118148387264
43;Bérault;1;48.8453687501573;2.42824450962049
44;Cadet;7;48.8758257180382;2.34334512457327
45;Cambronne;6;48.8476991081708;2.30203914366926
46;Campo-Formio;5;48.8355512166754;2.3587520951914
47;Cardinal Lemoine;10;48.8467058690603;2.3513351789726
48;Carrefour Pleyel;13;48.9199435050834;2.34390941978589
49;Censier Daubenton;7;48.8405943000016;2.35175561294669
50;Champs-Élysées, Clémenceau;1;48.8677440260687;2.31412278037414
51;Champs-Élysées, Clémenceau;13;48.8673665704698;2.31419106339366
52;Chardon-Lagâche;10;48.845104139567;2.26693605903225
53;Charenton-Écoles;8;48.8214898191456;2.41385676233111
54;Charles Michels;10;48.8463629755008;2.28563106588287
55;Charles de Gaulle, Étoile;1;48.8673665704698;2.31419106339366
56;Charles de Gaulle, Étoile;2;48.8677440260687;2.31412278037414
57;Charles de Gaulle, Étoile;6;48.8673665704698;2.31419106339366
58;Charonne;9;48.8546420474448;2.38503219333483
59;Chaussée d'Antin, LaFayette;7;48.8729858246652;2.33342622405285
60;Chaussée d'Antin, LaFayette;9;48.8728599894126;2.33304475092692
61;Chemin Vert;8;48.8575865444645;2.36803669494838
62;Chevaleret;6;48.83496497072;2.3680913458794
63;Château Landon;7;48.8784565668312;2.3620537162489
64;Château Rouge;4;48.8870862830504;2.34937007325138
65;Château d'Eau;4;48.8724541509199;2.35605616813029
66;Château de Vincennes;1;48.8443251443686;2.44055234621182
67;Châtelet;1;48.8572036455044;2.34722471105584
68;Châtelet;11;48.8572036455044;2.34722471105584
69;Châtelet;14;48.8572036455044;2.34722471105584
70;Châtelet;4;48.8572036455044;2.34722471105584
71;Châtelet;7;48.8572036455044;2.34722471105584
72;Châtillon-Montrouge;13;48.8102833635108;2.30128887097595
73;Cité;4;48.8556848502863;2.34620292952872
74;Cluny, La Sorbonne;10;48.8507957557043;2.34503088836523
75;Colonel Fabien;2;48.8781849817922;2.37017454663636
76;Commerce;8;48.844613671994;2.29380298016915
77;Concorde;1;48.8655072215305;2.32036285586113
78;Concorde;8;48.8655072215305;2.32036285586113
79;Concorde;12;48.8655072215305;2.32036285586113
80;Convention;12;48.8371369495626;2.29639609015556
81;Corentin Celton;12;48.8268298873941;2.27896686157434
82;Corentin-Cariou;7;48.8946815419881;2.38230219397424
83;Corvisart;6;48.8298632521128;2.35062272793209
84;Cour Saint-Émilion;14;48.8333137155784;2.38729970438351
85;Courcelles;2;48.8792721516316;2.30329854668249
86;Couronnes;2;48.8693291694966;2.38053636616172
87;Crimée;7;48.8902887750447;2.37677864892536
88;Croix de Chavaux;9;48.857999073258;2.43586689567471
89;Créteil-Préfecture;8;48.7797572578446;2.45931429107883
90;Créteil-Université;8;48.78972431608;2.45083610639066
91;Créteil-l'Echat, Hôpital Henri Mondor;8;48.7966012975785;2.44953152437608
92;Danube;71;48.8819510181782;2.39326067585739
93;Daumesnil;6;48.839376463125;2.39578806041565
94;Daumesnil;8;48.8396821402088;2.39558417034666
95;Denfert Rochereau;4;48.8339982367483;2.3332385011588
96;Denfert Rochereau;6;48.8339982367483;2.3332385011588
97;Dugommier;6;48.8388761516785;2.38934738757029
98;Dupleix;6;48.8503925783197;2.29364833623054
99;Duroc;10;48.8469925009228;2.31654234477023
100;Duroc;13;48.8469925009228;2.31654234477023
101;Edgar Quinet;6;48.8405677262044;2.32640281522276
102;Esplanade de la Défense;1;48.8883580601662;2.2499372128628
103;Europe;3;48.8790604392127;2.32297463240589
104;Exelmans;9;48.8429069785359;2.2601443978809
105;Faidherbe-Chaligny;8;48.8500676680027;2.38442877074163
106;Falguière;12;48.844323383002;2.3175646761806
107;Filles du Calvaire;8;48.8630781763554;2.36674588358473
108;Fort d'Aubervilliers;7;48.9140567451466;2.40357633451101
109;Franklin D.Roosevelt;1;48.8690104279376;2.31025318089603
110;Franklin D.Roosevelt;9;48.868812631861;2.3099263244705
111;Félix Faure;8;48.8428245676741;2.29222496622052
112;Gabriel Péri,Asnières-Gennevilliers;13;48.9165748359832;2.29432896468706
113;Gaité;13;48.8387518213886;2.32250918622471
114;Galliéni;3;48.8632625265005;2.41597536849996
115;Gambetta;31;48.8650342980182;2.39854148691224
116;Gambetta;3;48.8650342980182;2.39854148691224
117;Gare d'Austerlitz;10;48.8437198613606;2.36391621716271
118;Gare d'Austerlitz;5;48.8437198613606;2.36391621716271
119;Gare de Lyon;1;48.8455597870834;2.37344920496318
120;Gare de Lyon;14;48.8455597870834;2.37344920496318
121;Gare de l'Est;4;48.8766958360249;2.3579925105504
122;Gare de l'Est;5;48.8764170528791;2.35898704645633
123;Gare de l'Est;7;48.8768126253927;2.35825144008292
124;Gare du Nord;4;48.8793833026158;2.35637208135931
125;Gare du Nord;5;48.8793833026158;2.35637208135931
126;Garibaldi;13;48.9063821642264;2.33191047345893
127;George V;1;48.8720456194264;2.30076918564495
128;Glacière;6;48.8312479519874;2.34312207582299
129;Goncourt;11;48.870015355247;2.37076879902147
130;Grande Arche de la Défense;1;48.8918267548365;2.23799204321562
131;Guy Môquet;13;48.8930090560512;2.32749583949049
132;Havre Caumartin;3;48.8734259765349;2.32897097329656
133;Havre Caumartin;9;48.8734259765349;2.32897097329656
134;Hoche;5;48.8914993837643;2.40312496065608
135;Hôtel de Ville;1;48.8578053731363;2.35146077651356
136;Hôtel de Ville;11;48.8578053731363;2.35146077651356
137;Invalides;13;48.8610934676205;2.31464335534644
138;Invalides;8;48.8610934676205;2.31464335534644
139;Iéna;9;48.8643501996473;2.29404526378309
140;Jacques Bonsergent;5;48.8707008232696;2.36057863558728
141;Jasmin;9;48.8524385192227;2.26793392300095
142;Jaurès;2;48.8823280249193;2.37047696876992
143;Jaurès;5;48.8823280249193;2.37047696876992
144;Jaurès;71;48.8823280249193;2.37047696876992
145;Javel;10;48.8459638804841;2.27781512635377
146;Jourdain;11;48.875248294625;2.38932943415264
147;Jules Joffrin;12;48.8924969769303;2.3443284105515
148;Jussieu;10;48.8457617573115;2.35454859490674
149;Jussieu;7;48.8457617573115;2.35454859490674
150;Kléber;6;48.8713061490878;2.29333102089622
151;La Chapelle;2;48.8843886983582;2.35927656427673
152;La Courneuve, 8 Mai 1945;7;48.9205145066857;2.4102257791202
153;La Fourche;13;48.8874368425293;2.32572522201741
154;La Motte-Picquet, Grenelle;10;48.8490189283498;2.29776216070793
155;La Motte-Picquet, Grenelle;6;48.8488212666861;2.29795296402519
156;La Motte-Picquet, Grenelle;8;48.8488212666861;2.29795296402519
157;La Muette;9;48.8580950496832;2.27409644811061
158;La Tour-Maubourg;8;48.8572278606496;2.30979622582736
159;Lamarck-Caulaincourt;12;48.8897381077178;2.33914908667412
160;Laumière;5;48.8849316105461;2.37909124689984
161;Le Kremlin-Bicêtre;7;48.8103851251295;2.36183068309113
162;Le Peletier;7;48.8749630580261;2.34015679084921
163;Ledru-Rollin;8;48.8511941653637;2.37593173701289
164;Les Gobelins;7;48.8361274397525;2.35208111783557
165;Les Halles;4;48.8620119707205;2.34647645190621
166;Les Sablons;1;48.8812991854911;2.27191517601779
167;Liberté;8;48.825637111728;2.40741080542612
168;Liège;13;48.8795371663808;2.32685794727296
169;Louis Blanc;7;48.8814934288588;2.36577524234961
170;Louis Blanc;71;48.8814934288588;2.36577524234961
171;Louise Michel;3;48.889269622246;2.2880551248039
172;Lourmel;8;48.8386681290301;2.2822484883841
173;Louvre, Rivoli;1;48.8608798575938;2.3409732758179
174;Mabillon;10;48.8528451336544;2.33514371851607
175;Madeleine;8;48.8695071276291;2.32468019959152
176;Madeleine;14;48.8695071276291;2.32468019959152
177;Madeleine;12;48.8695071276291;2.32468019959152
178;Mairie d'Issy;12;48.8243465260184;2.27356582960065
179;Mairie d'Ivry;7;48.8112145354902;2.38350892873268
